Wathawurrung,Wathawurrung,kin-kin-bil,Aborigine,178,N,kin-kin-bil,Aborigines,kin-kin-bil,PERSON
Darkinyung,Darkinyung,kuri,Aborigine,178,N,guri,"aboriginal person, aboriginal people, man, men",kuɹi,PERSON
The Manning River,Birrpayi,koori,Aborigine,178,N,koori,The Blacks,koːɹi,PERSON
The Manning River,Birrpayi,boolora koori,Aborigine,178,N,boolora koori,2 Blacks,boːloɹa koːɹi,PERSON
"Port Jackson, or a Part of Sydney Harbour",Dharuk,eo-ra,Aborigine,178,N,eo-ra,The Blacks,eo-ɹa,PERSON
"Port Jackson, or a Part of Sydney Harbour",Dharuk,eo-ra,Aborigine,178,N,eo-ra,The Blacks,eo-ɹa,PERSON
Botany Bay,Dharuk,thhulla,Aborigine,178,N,tdhulla,The Blacks,t̪hulla,PERSON
Queanbeyan,Ngunawal,murring,Aborigine,178,N,murring,The Blacks,muring,PERSON
Yass,Ngunawal,myning,Aborigine,178,N,myning,The Blacks,mjning,PERSON
Moneroo,Moneroo,marrin,Aborigine,178,N,marrin,The Blacks,marin,PERSON
Moneroo,Moneroo,blala marrin,Aborigine,178,N,blala marrin,2 Blacks,blala marin,PERSON
Moneroo,Moneroo,wajala boor marrin,Aborigine,178,N,wajala boor marrin,3 Blacks,wajala boːɹ marin,PERSON
SWAN HILL AND TYNTYNDER,Wadi-wadi,w\o\otcha,Aborigine,178,N,w\o\otcha,The Blacks,w\o\otcha,PERSON
SWAN HILL AND TYNTYNDER,Wadi-wadi,p\ola w\o\otcha,Aborigine,178,N,p\ola w\o\otcha,2 Blacks,p\ola w\o\otcha,PERSON
SWAN HILL AND TYNTYNDER,Wadi-wadi,p\ola k\yup w\o\otcha,Aborigine,178,N,p\ola k\yup w\o\otcha,3 Blacks,p\ola k\jup w\o\otcha,PERSON
Piangil,Piangil,woonyi,Aborigine,178,N,woonyi,The Blacks,woːɲi,PERSON
Piangil,Piangil,bolaja woonyi,Aborigine,178,N,bolaja woonyi,2 Blacks,bolaja woːɲi,PERSON
Piangil,Piangil,bolaja yetua woonyi,Aborigine,178,N,bolaja yetua woonyi,3 Blacks,bolaja jetua woːɲi,PERSON
Piangil,Piangil,woani,Aborigine,178,N,woani,The Blacks,woani,PERSON
Piangil,Piangil,polaigilla woani,Aborigine,178,N,polaigilla woani,2 Blacks,polaigilla woani,PERSON
Piangil,Piangil,polaigilla yaitna woani,Aborigine,178,N,polaigilla yaitna woani,3 Blacks,polaigilla jaitna woani,PERSON
KULKYNE,Mathi-Mathi,wortoŋi,Aborigine,178,N,wortongi,The Blacks,woʈoŋi,PERSON
KULKYNE,Mathi-Mathi,polaityi wortoŋi,Aborigine,178,N,polaidji wortongi,2 Blacks,polaici woʈoŋi,PERSON
KULKYNE,Mathi-Mathi,polaityi kiap wortoŋi,Aborigine,178,N,polaidji kiap wortongi,3 Blacks,polaici kiap woʈoŋi,PERSON
THE TATIARRA COUNTRY,Bindjali,woychibirik,Aborigine,178,N,woychibirik,The Blacks,wojchibiɹik,PERSON
THE TATIARRA COUNTRY,Bindjali,polatch woychibirik,Aborigine,178,N,polatch woychibirik,2 Blacks,polatch wojchibiɹik,PERSON
THE TATIARRA COUNTRY,Bindjali,ba:ng,Aborigine,178,N,baang,The Blacks,baːng,PERSON
THE TATIARRA COUNTRY,Bindjali,polaitch ba:ng,Aborigine,178,N,polaitch baang,2 Blacks,polaitch baːng,PERSON
THE TATIARRA COUNTRY,Bindjali,polaitch pe kaiup ba:ng,Aborigine,178,N,polaitch pe kaiup baang,3 Blacks,polaitch pe kaiup baːng,PERSON
MOUNT GAMBIER,Buwandik,drooal,Aborigine,178,N,drooal,The Blacks,dɹoːal,PERSON
MOUNT GAMBIER,Buwandik,bolite drooal,Aborigine,178,N,bolite drooal,2 Blacks,bolite dɹoːal,PERSON
MOUNT GAMBIER,Buwandik,wrow-wong drooal,Aborigine,178,N,wrow-wong drooal,3 Blacks,wɹow-wong dɹoːal,PERSON
"LAKE HINDMARSH, UPPER REGIONS STATION, AND LOWER WIMMERA","Lake Hindmarsh, Upper Regions Station, And Lower Wimmera",wootcha,Aborigine,178,N,wootcha,The Blacks,woːtcha,PERSON
"LAKE HINDMARSH, UPPER REGIONS STATION, AND LOWER WIMMERA","Lake Hindmarsh, Upper Regions Station, And Lower Wimmera",polletch wootcha,Aborigine,178,N,polletch wootcha,2 Blacks,polletch woːtcha,PERSON
"LAKE HINDMARSH, UPPER REGIONS STATION, AND LOWER WIMMERA","Lake Hindmarsh, Upper Regions Station, And Lower Wimmera",polletch pa kaiup wootcha,Aborigine,178,N,polletch pa kaiup wootcha,3 Blacks,polletch pa kaiup woːtcha,PERSON
UPPER GLENELG AND WANNON,Mardidjali,koloin,Aborigine,178,N,koloin,The Blacks,koloin,PERSON
UPPER GLENELG AND WANNON,Mardidjali,polaitch koloin,Aborigine,178,N,polaitch koloin,2 Blacks,polaitch koloin,PERSON
UPPER GLENELG AND WANNON,Mardidjali,palini koloin,Aborigine,178,N,palini koloin,3 Blacks,palini koloin,PERSON
"THE GLENELG, ABOVE WOODFORD",Mardidjali,ba:ng,Aborigine,178,N,baang,The Blacks,baːng,PERSON
"THE GLENELG, ABOVE WOODFORD",Mardidjali,pooletch kooli,Aborigine,178,N,pooletch kooli,2 Blacks,poːletch koːli,PERSON
"THE GLENELG, ABOVE WOODFORD",Mardidjali,pooletch pe kaiap kooli,Aborigine,178,N,pooletch pe kaiap kooli,3 Blacks,poːletch pe kaiap koːli,PERSON
Woodford,Mardidjali,trooal,Aborigine,178,N,trooal,The Blacks,tɹoːal,PERSON
Woodford,Mardidjali,boait trooal,Aborigine,178,N,boait trooal,2 Blacks,boait tɹoːal,PERSON
Woodford,Mardidjali,wa:wong trooal,Aborigine,178,N,waawong trooal,3 Blacks,waːwong tɹoːal,PERSON
Hamilton,Gunditjmara,koole,Aborigine,178,N,koole,The Blacks,koːle,PERSON
Hamilton,Gunditjmara,poolaitch koole,Aborigine,178,N,poolaitch koole,2 Blacks,poːlaitch koːle,PERSON
Hamilton,Gunditjmara,kartoro koole,Aborigine,178,N,kartoro koole,3 Blacks,kaʈoɹo koːle,PERSON
MOUNT ROUSE; NATIVE NAME KOOLOOR,Gunditjmara,pollaich kooli,Aborigine,178,N,pollaich kooli,2 Blacks,pollaich koːli,PERSON
MOUNT ROUSE; NATIVE NAME KOOLOOR,Gunditjmara,pollaich kaiap kooli,Aborigine,178,N,pollaich kaiap kooli,3 Blacks,pollaich kaiap koːli,PERSON
HOPKINS RIVER,Bindjali,ma:ra,Aborigine,178,N,maara,The Blacks,maːɹa,PERSON
HOPKINS RIVER,Bindjali,polija ma:r,Aborigine,178,N,polija maar,2 Blacks,polija maːɹ,PERSON
HOPKINS RIVER,Bindjali,politimea ma:r,Aborigine,178,N,politimea maar,3 Blacks,politimea maːɹ,PERSON
HOPKINS RIVER,Bindjali,mar,Aborigine,178,N,mar,The Blacks,maɹ,PERSON
HOPKINS RIVER,Bindjali,pulija mar,Aborigine,178,N,pulija mar,2 Blacks,pulija maɹ,PERSON
HOPKINS RIVER,Bindjali,pulemeir mar,Aborigine,178,N,pulemeir mar,3 Blacks,pulemeiɹ maɹ,PERSON
MOULMEIN,Wemba-Wemba,paŋ,Aborigine,178,N,bang,The Blacks,paŋ,PERSON
MOULMEIN,Wemba-Wemba,pulet te paŋ,Aborigine,178,N,poolet de bang,2 Blacks,pulet te paŋ,PERSON
LAKE BOGA,Wemba-Wemba,paŋ,Aborigine,178,N,bang,The Blacks,paŋ,PERSON
"THE NEIGHBOURHOOD OF LAKE BOGA, PROBABLY MOORERBAT AND THE LOWER LODDON",Wemba-Wemba,pa:ŋ,Aborigine,178,N,baang,The Blacks,paːŋ,PERSON
"THE NEIGHBOURHOOD OF LAKE BOGA, PROBABLY MOORERBAT AND THE LOWER LODDON",Wemba-Wemba,polet kuli,Aborigine,178,N,polet kooli,2 Blacks,polet kuli,PERSON
"THE NEIGHBOURHOOD OF LAKE BOGA, PROBABLY MOORERBAT AND THE LOWER LODDON",Wemba-Wemba,polet kai-up kuli,Aborigine,178,N,polet kai-up kooli,3 Blacks,polet kai-up kuli,PERSON
"GONN STATION, MURRAY RIVER",Wemba-Wemba,paŋ,Aborigine,178,N,bang,The Blacks,paŋ,PERSON
"GONN STATION, MURRAY RIVER",Wemba-Wemba,pellike kuli,Aborigine,178,N,pellige kooli,2 Blacks,pellike kuli,PERSON
"GONN STATION, MURRAY RIVER",Wemba-Wemba,pellike karp kuli,Aborigine,178,N,pellige karp kooli,3 Blacks,pellike kaɹp kuli,PERSON
GUNBOWER STATION,Baraba Baraba,parooquili,Aborigine,178,N,parooquili,The Blacks,paɹoːquili,PERSON
MOUNT HOPE - P\ANYOOL DIALECT,Piangil,p\eang,Aborigine,178,N,p\eang,The Blacks,p\eang,PERSON
"KERANG, LODDON RIVER",Wemba-Wemba,kuli,Aborigine,178,N,kooli,The Blacks,kuli,PERSON
"KERANG, LODDON RIVER",Wemba-Wemba,pollaityh pa:ŋ,Aborigine,178,N,pollaich baang,2 Blacks,pollaich paːŋ,PERSON
"KERANG, LODDON RIVER",Wemba-Wemba,pollaityh kaiup pa:ŋ,Aborigine,178,N,pollaich kaiup baang,3 Blacks,pollaich kaiup paːŋ,PERSON
"SEYMOUR TO MURCHISON, PART OF GOULBURN RIVER, WHROO, ETC - NGOORAIALUM LANGUAGE",Daungwurrung,koli:nb\\oolok,Aborigine,178,N,koliinb\\oolok,The Blacks,koliːnb\\oːlok,PERSON
"SEYMOUR TO MURCHISON, PART OF GOULBURN RIVER, WHROO, ETC - NGOORAIALUM LANGUAGE",Daungwurrung,pol\abel k\oli:n-b\\oolok,Aborigine,178,N,pol\abel k\oliin-b\\oolok,2 Blacks,pol\abel k\oliːn-b\\oːlok,PERSON
"SEYMOUR TO MURCHISON, PART OF GOULBURN RIVER, WHROO, ETC - NGOORAIALUM LANGUAGE",Daungwurrung,polabel koptoon koli:nboolok,Aborigine,178,N,polabel koptoon koliinboolok,3 Blacks,polabel koptoːn koliːnboːlok,PERSON
"HEALESVILLE, UPPER YARRA - OORONGIR LANGUAGE.",Woiwurrung,koli:npoolok,Aborigine,178,N,koliinboolok,The Blacks,koliːnpoːlok,PERSON
LOWER YARRA,Lower Yarra,cooleenth,Aborigine,178,N,cooleenth,The Blacks,coːleːnt̪,PERSON
MORDIYALLOOK,Boonwurrung,koli:nbolak,Aborigine,178,N,koliinbolak,The Blacks,koliːnbolak,PERSON
MORDIYALLOOK,Boonwurrung,polabel koli:n,Aborigine,178,N,polabel koliin,2 Blacks,polabel koliːn,PERSON
MORDIYALLOOK,Boonwurrung,polabel koptoon koli:n,Aborigine,178,N,polabel koptoon koliin,3 Blacks,polabel koptoːn koliːn,PERSON
Dartmoor,Mardidjali,troo-a-al,Aborigine,178,N,troo-a-al,the Blacks,tɹoː-a-al,PERSON
Dartmoor,Mardidjali,poaitch troo-a-al,Aborigine,178,N,poaitch troo-a-al,2 blacks,poaitch tɹoː-a-al,PERSON
Dartmoor,Mardidjali,wrawoon troo-a-al,Aborigine,178,N,wrawoon troo-a-al,3 blacks,wɹawoːn tɹoː-a-al,PERSON
Pytu Reach,Ngarrindjeri,narrinyeri,Aborigine,178,N,narrinyeri,The Blacks,nariɲeɹi,PERSON
Pytu Reach,Ngarrindjeri,kornengk,Aborigine,178,N,kornengk,2 Blacks,koɳengk,PERSON
Pytu Reach,Ngarrindjeri,neppaldarkornar,Aborigine,178,N,neppaldarkornar,3 Blacks,neppaldaɹkoɳaɹ,PERSON
Yit-Tha,Yitha-Yitha,ker nunna,Aborigine,178,N,ker nunna,The Blacks,keɹ nunna,PERSON
Yit-Tha,Yitha-Yitha,thral nunna,Aborigine,178,N,thral nunna,2 Blacks,t̪ɹal nunna,PERSON
Yit-Tha,Yitha-Yitha,thoral nunna,Aborigine,178,N,thoral nunna,2 Blacks,t̪oɹal nunna,PERSON
Yit-Tha,Yitha-Yitha,thral mo nunna,Aborigine,178,N,thral mo nunna,3 Blacks,t̪ɹal mo nunna,PERSON
"Ned's Corner Station, Murray River",Ngintait,nutcha,Aborigine,178,N,nutcha,The Blacks,nutcha,PERSON
Dharuk,Dharuk,dullai,Aborigine,178,N,dullai,Aboriginal man,dullai,PERSON
Dharuk,Dharuk,wirawi,Aborigine,178,N,wirawi,Aboriginal woman,wiɹawi,PERSON
Ngarrindjeri,Ngarrindjeri,naŋka,Aborigine,178,N,Nangga,Aboriginal,naŋka,PERSON
Keramin,Keramin,wanar,Aborigine,178,N,wanar,man (Aboriginal),wanaɹ,PERSON
Ngarigu,Ngarigu,mayi,Aborigine,178,N,mayi,black man,maji,PERSON
Dharawal,Dharawal,yuwiny,Aborigine,178,N,yuwiny,Aboriginal man,juwiɲ,PERSON
Dharawal,Dharawal,mika,Aborigine,178,N,miga,Aboriginal woman,mika,PERSON
Dharawal,Dharawal,ŋanta,Aborigine,178,N,nganda,black man,ŋanta,PERSON
Dharawal,Dharawal,yunhuny,Aborigine,178,N,yunhuny,black man,jun̪uɲ,PERSON
Dharawal,Dharawal,yuwiny,Aborigine,178,N,yuwiny,black man,juwiɲ,PERSON
Dhurga,Dhurga,yuwiny,Aborigine,178,N,yuwiny,Aboriginal man,juwiɲ,PERSON
Dhurga,Dhurga,waŋkan,Aborigine,178,N,wanggan,Aboriginal woman,waŋkan,PERSON
Dhurga,Dhurga,ŋanta,Aborigine,178,N,nganda,black man,ŋanta,PERSON
Dhurga,Dhurga,yunhuny,Aborigine,178,N,yunhuny,black man,jun̪uɲ,PERSON
Dhurga,Dhurga,yuwiny,Aborigine,178,N,yuwiny,black man,juwiɲ,PERSON
Wathawurrung,Wathawurrung,kin-kin-bil,Aborigine,178,,kin-kin-bil,Aborigines,kin-kin-bil,PERSON
Tyattyalla,Djadjala,wutyu,Aborigine,178,N,wutyu,aboriginal man,wucu,PERSON
Tyattyalla,Djadjala,laiuruk,Aborigine,178,N,laiuruk,aboriginal man,laiuɹuk,PERSON
Dhurga,Dhurga,yuwiny,Aborigine,178,N,yuwiɲ,Aboriginal man,juwiɲ,PERSON
Dhurga,Dhurga,waŋkan,Aborigine,178,N,waŋɡan,Aboriginal woman,waŋkan,PERSON
Dhurga,Dhurga,yunhuny,Aborigine,178,N,yun̪uɲ,black man,jun̪uɲ,PERSON
Dhurga,Dhurga,yuwiny,Aborigine,178,N,yuwiɲ,black man,juwiɲ,PERSON
Dharawal,Dharawal,yuwiny,Aborigine,178,N,yuwiɲ,Aboriginal man,juwiɲ,PERSON
Dharawal,Dharawal,mika,Aborigine,178,N,miɡa,Aboriginal woman,mika,PERSON
Dharawal,Dharawal,ŋanta,Aborigine,178,N,ŋanda,black man,ŋanta,PERSON
